msd_en	features_en	msd_sl	features_sl	types	tokens	examples
Ncfdi	Noun Type=common Gender=feminine Number=dual Case=instrumental	Sozdo	samostalnik vrsta=občno_ime spol=ženski število=dvojina sklon=orodnik	18581	126081	državama/država, rokama/roka, vojnama/vojna, zmagama/zmaga, strankama/stranka
Ncfpn	Noun Type=common Gender=feminine Number=plural Case=nominative	Sozmi	samostalnik vrsta=občno_ime spol=ženski število=množina sklon=imenovalnik	19783	4517580	ženske/ženska, cene/cena, stvari/stvar, države/država, težave/težava
Ncfpg	Noun Type=common Gender=feminine Number=plural Case=genitive	Sozmr	samostalnik vrsta=občno_ime spol=ženski število=množina sklon=rodilnik	20130	10360249	težav/težava, točk/točka, držav/država, minut/minuta, ur/ura
Ncfpd	Noun Type=common Gender=feminine Number=plural Case=dative	Sozmd	samostalnik vrsta=občno_ime spol=ženski število=množina sklon=dajalnik	18704	674074	osebam/oseba, zahtevam/zahteva, ženskam/ženska, strankam/stranka, potrebam/potreba
Ncfpa	Noun Type=common Gender=feminine Number=plural Case=accusative	Sozmt	samostalnik vrsta=občno_ime spol=ženski število=množina sklon=tožilnik	19267	5098207	težave/težava, zadeve/zadeva, stvari/stvar, roke/roka, oči
Ncfpl	Noun Type=common Gender=feminine Number=plural Case=locative	Sozmm	samostalnik vrsta=občno_ime spol=ženski število=množina sklon=mestnik	19188	3751821	besedah/beseda, državah/država, volitvah/volitev, rokah/roka, tekmah/tekma
Ncfpi	Noun Type=common Gender=feminine Number=plural Case=instrumental	Sozmo	samostalnik vrsta=občno_ime spol=ženski število=množina sklon=orodnik	18932	2012866	besedami/beseda, državami/država, očmi/oči, točkami/točka, volitvami/volitev
Ncnsn	Noun Type=common Gender=neuter Number=singular Case=nominative	Sosei	samostalnik vrsta=občno_ime spol=srednji število=ednina sklon=imenovalnik	9088	7962807	mesto, delo, podjetje, sodišče, vprašanje
Ncnsg	Noun Type=common Gender=neuter Number=singular Case=genitive	Soser	samostalnik vrsta=občno_ime spol=srednji število=ednina sklon=rodilnik	9507	11942609	leta/leto, dela/delo, življenja/življenje, podjetja/podjetje, mesta/mesto
Ncnsd	Noun Type=common Gender=neuter Number=singular Case=dative	Sosed	samostalnik vrsta=občno_ime spol=srednji število=ednina sklon=dajalnik	7983	503166	sodelovanju/sodelovanje, delu/delo, sodišču/sodišče, podjetju/podjetje, občinstvu/občinstvo
Ncnsa	Noun Type=common Gender=neuter Number=singular Case=accusative	Soset	samostalnik vrsta=občno_ime spol=srednji število=ednina sklon=tožilnik	9094	9770225	leto, delo, mesto, življenje, vprašanje
Ncnsl	Noun Type=common Gender=neuter Number=singular Case=locative	Sosem	samostalnik vrsta=občno_ime spol=srednji število=ednina sklon=mestnik	8618	7171447	letu/leto, mestu/mesto, področju/področje, mnenju/mnenje, delu/delo
Ncnsi	Noun Type=common Gender=neuter Number=singular Case=instrumental	Soseo	samostalnik vrsta=občno_ime spol=srednji število=ednina sklon=orodnik	8263	2339920	delom/delo, letom/leto, vodstvom/vodstvo, imenom/ime, veseljem/veselje
Ncndn	Noun Type=common Gender=neuter Number=dual Case=nominative	Sosdi	samostalnik vrsta=občno_ime spol=srednji število=dvojina sklon=imenovalnik	7276	20959	nebi/nebo, moštvi/moštvo, vprašanji/vprašanje, dekleti/dekle, podjetji/podjetje
Ncndg	Noun Type=common Gender=neuter Number=dual Case=genitive	Sosdr	samostalnik vrsta=občno_ime spol=srednji število=dvojina sklon=rodilnik	7278	4299	let/leto, desetletij/desetletje, brun/bruno, tisočletij/tisočletje, final/finale
Ncndd	Noun Type=common Gender=neuter Number=dual Case=dative	Sosdd	samostalnik vrsta=občno_ime spol=srednji število=dvojina sklon=dajalnik	7275		zvrščanjema/zvrščanje, žvrkljanjema/žvrkljanje, žvrgolenjema/žvrgolenje, zvrgavanjema/zvrgavanje, zvračanjema/zvračanje
Ncnda	Noun Type=common Gender=neuter Number=dual Case=accusative	Sosdt	samostalnik vrsta=občno_ime spol=srednji število=dvojina sklon=tožilnik	7275	111108	leti/leto, desetletji/desetletje, vprašanji/vprašanje, podjetji/podjetje, nebi/nebo
Ncndl	Noun Type=common Gender=neuter Number=dual Case=locative	Sosdm	samostalnik vrsta=občno_ime spol=srednji število=dvojina sklon=mestnik	7277	38853	letih/leto, desetletjih/desetletje, dneh/dno, kolesih/kolo, nadstropjih/nadstropje
Ncndi	Noun Type=common Gender=neuter Number=dual Case=instrumental	Sosdo	samostalnik vrsta=občno_ime spol=srednji število=dvojina sklon=orodnik	7276	69964	letoma/leto, desetletjema/desetletje, podjetjema/podjetje, moštvoma/moštvo, ministrstvoma/ministrstvo
Ncnpn	Noun Type=common Gender=neuter Number=plural Case=nominative	Sosmi	samostalnik vrsta=občno_ime spol=srednji število=množina sklon=imenovalnik	7737	981445	podjetja/podjetje, dela/delo, sredstva/sredstvo, vrata, dekleta/dekle
Ncnpg	Noun Type=common Gender=neuter Number=plural Case=genitive	Sosmr	samostalnik vrsta=občno_ime spol=srednji število=množina sklon=rodilnik	7415	3483964	let/leto, sredstev/sredstvo, podjetij/podjetje, mest/mesto, del/delo
Ncnpd	Noun Type=common Gender=neuter Number=plural Case=dative	Sosmd	samostalnik vrsta=občno_ime spol=srednji število=množina sklon=dajalnik	7309	53743	podjetjem/podjetje, vratom/vrata, tlom/tla, navodilom/navodilo, pravilom/pravilo
Ncnpa	Noun Type=common Gender=neuter Number=plural Case=accusative	Sosmt	samostalnik vrsta=občno_ime spol=srednji število=množina sklon=tožilnik	7480	1561967	leta/leto, vrata, vprašanja/vprašanje, sredstva/sredstvo, mesta/mesto
Ncnpl	Noun Type=common Gender=neuter Number=plural Case=locative	Sosmm	samostalnik vrsta=občno_ime spol=srednji število=množina sklon=mestnik	7333	1513388	letih/leto, mestih/mesto, tleh/tla, področjih/področje, podjetjih/podjetje
Ncnpi	Noun Type=common Gender=neuter Number=plural Case=instrumental	Sosmo	samostalnik vrsta=občno_ime spol=srednji število=množina sklon=orodnik	7540	929119	leti/leto, vrati/vrata, sredstvi/sredstvo, deli/delo, podjetji/podjetje
Npmsn	Noun Type=proper Gender=masculine Number=singular Case=nominative	Slmei	samostalnik vrsta=lastno_ime spol=moški število=ednina sklon=imenovalnik	164112	37724593	Janez, Maribor, Kranj, Jože, Andrej
Npmsg	Noun Type=proper Gender=masculine Number=singular Case=genitive	Slmer	samostalnik vrsta=lastno_ime spol=moški število=ednina sklon=rodilnik	26803	4551187	Janeza/Janez, Maribora/Maribor, Petra/Peter, Celzija/Celzij, Ivana/Ivan
Npmsd	Noun Type=proper Gender=masculine Number=singular Case=dative	Slmed	samostalnik vrsta=lastno_ime spol=moški število=ednina sklon=dajalnik	9844	681768	Janezu/Janez, Janši/Janša, Jožetu/Jože, Milanu/Milan, Drnovšku/Drnovšek
Npmsan	Noun Type=proper Gender=masculine Number=singular Case=accusative Animate=no	Slmetn	samostalnik vrsta=lastno_ime spol=moški število=ednina sklon=tožilnik živost=ne	2194	371335	Beograd, Nato, Irak, LP, Maribor
Npmsay	Noun Type=proper Gender=masculine Number=singular Case=accusative Animate=yes	Slmetd	samostalnik vrsta=lastno_ime spol=moški število=ednina sklon=tožilnik živost=da	7535	755666	Janeza/Janez, Slovenca/Slovenec, Janšo/Janša, Jožeta/Jože, Andreja/Andrej
Npmsl	Noun Type=proper Gender=masculine Number=singular Case=locative	Slmem	samostalnik vrsta=lastno_ime spol=moški število=ednina sklon=mestnik	14082	2331143	Mariboru/Maribor, Kranju/Kranj, Kopru/Koper, Parizu/Pariz, Londonu/London
Npmsi	Noun Type=proper Gender=masculine Number=singular Case=instrumental	Slmeo	samostalnik vrsta=lastno_ime spol=moški število=ednina sklon=orodnik	13135	1089520	Janezom/Janez, Bežigradom/Bežigrad, Podgradom/Podgrad, Mariborom/Maribor, Janšo/Janša
Npmdn	Noun Type=proper Gender=masculine Number=dual Case=nominative	Slmdi	samostalnik vrsta=lastno_ime spol=moški število=dvojina sklon=imenovalnik	4431	2109	Američana/Američan, Slovenca/Slovenec, Dimovska/Dimovski, Ljubljančana/Ljubljančan, Palestinca/Palestinec
Npmdg	Noun Type=proper Gender=masculine Number=dual Case=genitive	Slmdr	samostalnik vrsta=lastno_ime spol=moški število=dvojina sklon=rodilnik	4433	516	RTG/RTGA, rtg/rtga, Zvonkov/Zvonko, Zvonimirjev/Zvonimir, Zvonetov/Zvone
Npmdd	Noun Type=proper Gender=masculine Number=dual Case=dative	Slmdd	samostalnik vrsta=lastno_ime spol=moški število=dvojina sklon=dajalnik	4445	3574	Slovencema/Slovenec, Italijanoma/Italijan, Američanoma/Američan, Hrvatoma/Hrvat, Nemcema/Nemec
Npmda	Noun Type=proper Gender=masculine Number=dual Case=accusative	Slmdt	samostalnik vrsta=lastno_ime spol=moški število=dvojina sklon=tožilnik	4427	13	Dimovska/Dimovski, SB/Sb, Zvonka/Zvonko, Zvonimirja/Zvonimir, Zvoneta/Zvone
Npmdl	Noun Type=proper Gender=masculine Number=dual Case=locative	Slmdm	samostalnik vrsta=lastno_ime spol=moški število=dvojina sklon=mestnik	4426		Zvonkih/Zvonko, Zvonimirjih/Zvonimir, Zvonetih/Zvone, Zvonarjih/Zvonar, Žvižejih/Žvižej
Npmdi	Noun Type=proper Gender=masculine Number=dual Case=instrumental	Slmdo	samostalnik vrsta=lastno_ime spol=moški število=dvojina sklon=orodnik	4431		Zvonkoma/Zvonko, Zvonimirjema/Zvonimir, Zvonetoma/Zvone, Zvonarjema/Zvonar, Žvižejema/Žvižej
Npmpn	Noun Type=proper Gender=masculine Number=plural Case=nominative	Slmmi	samostalnik vrsta=lastno_ime spol=moški število=množina sklon=imenovalnik	5363	893833	Slovenci/Slovenec, Američani/Američan, Nemci/Nemec, Italijani/Italijan, Hrvati/Hrvat
Npmpg	Noun Type=proper Gender=masculine Number=plural Case=genitive	Slmmr	samostalnik vrsta=lastno_ime spol=moški število=množina sklon=rodilnik	5036	345717	Slovencev/Slovenec, ZN/ZNA, tut/tuta, Američanov/Američan, Srbov/Srb
Npmpd	Noun Type=proper Gender=masculine Number=plural Case=dative	Slmmd	samostalnik vrsta=lastno_ime spol=moški število=množina sklon=dajalnik	4606	70566	Slovencem/Slovenec, Američanom/Američan, Nemcem/Nemec, Srbom/Srb, Italijanom/Italijan
Npmpa	Noun Type=proper Gender=masculine Number=plural Case=accusative	Slmmt	samostalnik vrsta=lastno_ime spol=moški število=množina sklon=tožilnik	4622	195373	Slovence/Slovenec, SLOVENCE/SLOVENEC, Američane/Američan, Nemce/Nemec, Srbe/Srb
Npmpl	Noun Type=proper Gender=masculine Number=plural Case=locative	Slmmm	samostalnik vrsta=lastno_ime spol=moški število=množina sklon=mestnik	4689	70929	Ivanovcih/Ivanovci, Radencih/Radenci, Slovencih/Slovenec, Helsinkih/Helsinki, Havajih/Havaji
Npmpi	Noun Type=proper Gender=masculine Number=plural Case=instrumental	Slmmo	samostalnik vrsta=lastno_ime spol=moški število=množina sklon=orodnik	4667	70914	Slovenci/Slovenec, Nemci/Nemec, Palestinci/Palestinec, Romi/Rom, Celjani/Celjan
Npfsn	Noun Type=proper Gender=feminine Number=singular Case=nominative	Slzei	samostalnik vrsta=lastno_ime spol=ženski število=ednina sklon=imenovalnik	26662	9409902	Ljubljana, Slovenija, LJUBLJANA, Olimpija, Sobota
Npfsg	Noun Type=proper Gender=feminine Number=singular Case=genitive	Slzer	samostalnik vrsta=lastno_ime spol=ženski število=ednina sklon=rodilnik	7845	3417272	Slovenije/Slovenija, EU, RS, Ljubljane/Ljubljana, Evrope/Evropa
Npfsd	Noun Type=proper Gender=feminine Number=singular Case=dative	Slzed	samostalnik vrsta=lastno_ime spol=ženski število=ednina sklon=dajalnik	5220	223779	Olimpiji/Olimpija, Sloveniji/Slovenija, Mariji/Marija, PI/PA, Ljubljani/Ljubljana
Npfsa	Noun Type=proper Gender=feminine Number=singular Case=accusative	Slzet	samostalnik vrsta=lastno_ime spol=ženski število=ednina sklon=tožilnik	7120	1173062	Slovenijo/Slovenija, Evropo/Evropa, EU, Ljubljano/Ljubljana, Italijo/Italija
Npfsl	Noun Type=proper Gender=feminine Number=singular Case=locative	Slzem	samostalnik vrsta=lastno_ime spol=ženski število=ednina sklon=mestnik	6256	2791410	Sloveniji/Slovenija, Ljubljani/Ljubljana, Evropi/Evropa, Italiji/Italija, Nemčiji/Nemčija
Npfsi	Noun Type=proper Gender=feminine Number=singular Case=instrumental	Slzeo	samostalnik vrsta=lastno_ime spol=ženski število=ednina sklon=orodnik	5791	480502	Slovenijo/Slovenija, Hrvaško/Hrvaška, Olimpijo/Olimpija, Italijo/Italija, Rusijo/Rusija
Npfdn	Noun Type=proper Gender=feminine Number=dual Case=nominative	Slzdi	samostalnik vrsta=lastno_ime spol=ženski število=dvojina sklon=imenovalnik	3839	1	frutabeli/Frutabela, Zvonki/Zvonka, Zvonimiri/Zvonimira, Zvonar, Žvižej
Npfdg	Noun Type=proper Gender=feminine Number=dual Case=genitive	Slzdr	samostalnik vrsta=lastno_ime spol=ženski število=dvojina sklon=rodilnik	3840	329	Korej/Koreja, korej/koreja, Zvonk/Zvonka, Zvonimir/Zvonimira, Zvonar
Npfdd	Noun Type=proper Gender=feminine Number=dual Case=dative	Slzdd	samostalnik vrsta=lastno_ime spol=ženski število=dvojina sklon=dajalnik	3839	1035	Rusinjama/Rusinja, Američankama/Američanka, Slovenkama/Slovenka, Nemkama/Nemka, Avstrijkama/Avstrijka
Npfda	Noun Type=proper Gender=feminine Number=dual Case=accusative	Slzdt	samostalnik vrsta=lastno_ime spol=ženski število=dvojina sklon=tožilnik	3838		Zvonki/Zvonka, Zvonimiri/Zvonimira, Zvonar, Žvižej, Zvezdani/Zvezdana
Npfdl	Noun Type=proper Gender=feminine Number=dual Case=locative	Slzdm	samostalnik vrsta=lastno_ime spol=ženski število=dvojina sklon=mestnik	3838		Zvonkah/Zvonka, Zvonimirah/Zvonimira, Zvonar, Žvižej, Zvezdanah/Zvezdana
Npfdi	Noun Type=proper Gender=feminine Number=dual Case=instrumental	Slzdo	samostalnik vrsta=lastno_ime spol=ženski število=dvojina sklon=orodnik	3839	41	Nemčijama/Nemčija, Zvonkama/Zvonka, Zvonimirama/Zvonimira, Zvonar, Žvižej
Npfpn	Noun Type=proper Gender=feminine Number=plural Case=nominative	Slzmi	samostalnik vrsta=lastno_ime spol=ženski število=množina sklon=imenovalnik	5011	729467	ZDA, Jesenice, Domžale, Brežice, Konjice
Npfpg	Noun Type=proper Gender=feminine Number=plural Case=genitive	Slzmr	samostalnik vrsta=lastno_ime spol=ženski število=množina sklon=rodilnik	4401	254239	ZDA, Jesenic/Jesenice, Alp/Alpe, Domžal/Domžale, Konjic/Konjice
Npfpd	Noun Type=proper Gender=feminine Number=plural Case=dative	Slzmd	samostalnik vrsta=lastno_ime spol=ženski število=množina sklon=dajalnik	4099	16359	Dream/Drea, Domžalam/Domžale, dream/drea, Jesenicam/Jesenice, Slovenkam/Slovenka
Npfpa	Noun Type=proper Gender=feminine Number=plural Case=accusative	Slzmt	samostalnik vrsta=lastno_ime spol=ženski število=množina sklon=tožilnik	4079	8379	ZDA, Benetke, Nizozemke/Nizozemka, Lučine, Firence
Npfpl	Noun Type=proper Gender=feminine Number=plural Case=locative	Slzmm	samostalnik vrsta=lastno_ime spol=ženski število=množina sklon=mestnik	4521	364900	ZDA, Jesenicah/Jesenice, Atenah/Atene, Domžalah/Domžale, Konjicah/Konjice
Npfpi	Noun Type=proper Gender=feminine Number=plural Case=instrumental	Slzmo	samostalnik vrsta=lastno_ime spol=ženski število=množina sklon=orodnik	4107	27789	ZDA, Alpami/Alpe, Domžalami/Domžale, Jesenicami/Jesenice, Poncami/Ponca
Npnsn	Noun Type=proper Gender=neuter Number=singular Case=nominative	Slsei	samostalnik vrsta=lastno_ime spol=srednji število=ednina sklon=imenovalnik	630	808993	Celje, Laško, Krško, Velenje, Kočevje
Npnsg	Noun Type=proper Gender=neuter Number=singular Case=genitive	Slser	samostalnik vrsta=lastno_ime spol=srednji število=ednina sklon=rodilnik	470	220779	Celja/Celje, Kosova/Kosovo, RD/RDA, Velenja/Velenje, Krškega/Krško
Npnsd	Noun Type=proper Gender=neuter Number=singular Case=dative	Slsed	samostalnik vrsta=lastno_ime spol=srednji število=ednina sklon=dajalnik	152	698	trojnemu/trojno, Šmartnemu/Šmartno, Naklemu/Naklo, Grosupljemu/Grosuplje, Ljubnemu/Ljubno
Npnsa	Noun Type=proper Gender=neuter Number=singular Case=accusative	Slset	samostalnik vrsta=lastno_ime spol=srednji število=ednina sklon=tožilnik	198	48368	Celje, Pohorje, Kosovo, Laško, Sarajevo
Npnsl	Noun Type=proper Gender=neuter Number=singular Case=locative	Slsem	samostalnik vrsta=lastno_ime spol=srednji število=ednina sklon=mestnik	432	778594	Celju/Celje, Hrvaškem/Hrvaško, Koroškem/Koroško, Primorskem/Primorsko, Kosovu/Kosovo
Npnsi	Noun Type=proper Gender=neuter Number=singular Case=instrumental	Slseo	samostalnik vrsta=lastno_ime spol=srednji število=ednina sklon=orodnik	164	26341	Podgorjem/Podgorje, Celjem/Celje, Pohorjem/Pohorje, Kosovom/Kosovo, Sredozemljem/Sredozemlje
Npnpn	Noun Type=proper Gender=neuter Number=plural Case=nominative	Slsmi	samostalnik vrsta=lastno_ime spol=srednji število=množina sklon=imenovalnik	9		Živila, Vrata, Studenca, Selca, Sela
Npnpg	Noun Type=proper Gender=neuter Number=plural Case=genitive	Slsmr	samostalnik vrsta=lastno_ime spol=srednji število=množina sklon=rodilnik	11	711	Selc/Selca, Studenc/Studenca, studenc/studenca, SELC/SELCA, Živil/Živila
Npnpd	Noun Type=proper Gender=neuter Number=plural Case=dative	Slsmd	samostalnik vrsta=lastno_ime spol=srednji število=množina sklon=dajalnik	9		Živilom/Živila, Vratom/Vrata, Studencom/Studenca, Selom/Sela, Selcom/Selca
Npnpa	Noun Type=proper Gender=neuter Number=plural Case=accusative	Slsmt	samostalnik vrsta=lastno_ime spol=srednji število=množina sklon=tožilnik	9		Živila, Vrata, Studenca, Selca, Sela
Npnpl	Noun Type=proper Gender=neuter Number=plural Case=locative	Slsmm	samostalnik vrsta=lastno_ime spol=srednji število=množina sklon=mestnik	9		Živilih/Živila, Vratih/Vrata, Studencih/Studenca, Selih/Sela, Selcih/Selca
Npnpi	Noun Type=proper Gender=neuter Number=plural Case=instrumental	Slsmo	samostalnik vrsta=lastno_ime spol=srednji število=množina sklon=orodnik	9		Živili/Živila, Vrati/Vrata, Studenci/Studenca, Seli/Sela, Selci/Selca
Vmen	Verb Type=main Aspect=perfective VForm=infinitive	Ggdn	glagol vrsta=glavni vid=dovršni oblika=nedoločnik	5014	5373505	narediti, povedati, najti, doseči, dobiti
Vmeu	Verb Type=main Aspect=perfective VForm=supine	Ggdm	glagol vrsta=glavni vid=dovršni oblika=namenilnik	4679	131605	pogledat/pogledati, povedat/povedati, dat/dati, umret/umreti, ogledat/ogledati
Vmep-sm	Verb Type=main Aspect=perfective VForm=participle Number=singular Gender=masculine	Ggdd-em	glagol vrsta=glavni vid=dovršni oblika=deležnik število=ednina spol=moški	5699	12053198	povedal/povedati, dejal/dejati, dobil/dobiti, začel/začeti, rekel/reči
Vmep-sf	Verb Type=main Aspect=perfective VForm=participle Number=singular Gender=feminine	Ggdd-ez	glagol vrsta=glavni vid=dovršni oblika=deležnik število=ednina spol=ženski	5131	7015671	začela/začeti, dobila/dobiti, povedala/povedati, postala/postati, prišla/priti
Vmep-sn	Verb Type=main Aspect=perfective VForm=participle Number=singular Gender=neuter	Ggdd-es	glagol vrsta=glavni vid=dovršni oblika=deležnik število=ednina spol=srednji	4770	2796919	uspelo/uspeti, zgodilo/zgoditi, prišlo/priti, začelo/začeti, ostalo/ostati
Vmep-pm	Verb Type=main Aspect=perfective VForm=participle Number=plural Gender=masculine	Ggdd-mm	glagol vrsta=glavni vid=dovršni oblika=deležnik število=množina spol=moški	5275	9389540	dobili/dobiti, začeli/začeti, prišli/priti, našli/najti, pripravili/pripraviti
Vmep-pf	Verb Type=main Aspect=perfective VForm=participle Number=plural Gender=feminine	Ggdd-mz	glagol vrsta=glavni vid=dovršni oblika=deležnik število=množina spol=ženski	4728	1071824	začele/začeti, pokazale/pokazati, ostale/ostati, postale/postati, prišle/priti
Vmep-pn	Verb Type=main Aspect=perfective VForm=participle Number=plural Gender=neuter	Ggdd-ms	glagol vrsta=glavni vid=dovršni oblika=deležnik število=množina spol=srednji	4696	37539	začela/začeti, ostala/ostati, odprla/odpreti, nastala/nastati, pojavila/pojaviti
