msd_en	features_en	msd_sl	features_sl	types	tokens	examples
Ps3fsisn	Pronoun Type=possessive Person=third Gender=feminine Number=singular Case=instrumental Owner_Number=singular Owner_Gender=neuter	Zstzeoes	zaimek vrsta=svojilni oseba=tretja spol=ženski število=ednina sklon=orodnik število_svojine=ednina spol_svojine=srednji	1		njegovo/njegov
Ps3fsid	Pronoun Type=possessive Person=third Gender=feminine Number=singular Case=instrumental Owner_Number=dual	Zstzeod	zaimek vrsta=svojilni oseba=tretja spol=ženski število=ednina sklon=orodnik število_svojine=dvojina	1		njuno/njun
Ps3fsip	Pronoun Type=possessive Person=third Gender=feminine Number=singular Case=instrumental Owner_Number=plural	Zstzeom	zaimek vrsta=svojilni oseba=tretja spol=ženski število=ednina sklon=orodnik število_svojine=množina	3	1413	njihovo/njihov, njihno/njihen, njihnjo/njihnji
Ps3fdnsm	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=nominative Owner_Number=singular Owner_Gender=masculine	Zstzdiem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=imenovalnik število_svojine=ednina spol_svojine=moški	1		njegovi/njegov
Ps3fdnsf	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=nominative Owner_Number=singular Owner_Gender=feminine	Zstzdiez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=imenovalnik število_svojine=ednina spol_svojine=ženski	1		njeni/njen
Ps3fdnsn	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=nominative Owner_Number=singular Owner_Gender=neuter	Zstzdies	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=imenovalnik število_svojine=ednina spol_svojine=srednji	1		njegovi/njegov
Ps3fdnd	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=nominative Owner_Number=dual	Zstzdid	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=imenovalnik število_svojine=dvojina	1		njuni/njun
Ps3fdnp	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=nominative Owner_Number=plural	Zstzdim	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=imenovalnik število_svojine=množina	3		njihovi/njihov, njihnji, njihni/njihen
Ps3fdgsm	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=genitive Owner_Number=singular Owner_Gender=masculine	Zstzdrem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=rodilnik število_svojine=ednina spol_svojine=moški	1		njegovih/njegov
Ps3fdgsf	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=genitive Owner_Number=singular Owner_Gender=feminine	Zstzdrez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=rodilnik število_svojine=ednina spol_svojine=ženski	1		njenih/njen
Ps3fdgsn	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=genitive Owner_Number=singular Owner_Gender=neuter	Zstzdres	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=rodilnik število_svojine=ednina spol_svojine=srednji	1		njegovih/njegov
Ps3fdgd	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=genitive Owner_Number=dual	Zstzdrd	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=rodilnik število_svojine=dvojina	1		njunih/njun
Ps3fdgp	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=genitive Owner_Number=plural	Zstzdrm	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=rodilnik število_svojine=množina	3		njihovih/njihov, njihnjih/njihnji, njihnih/njihen
Ps3fddsm	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=dative Owner_Number=singular Owner_Gender=masculine	Zstzddem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=dajalnik število_svojine=ednina spol_svojine=moški	1		njegovima/njegov
Ps3fddsf	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=dative Owner_Number=singular Owner_Gender=feminine	Zstzddez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=dajalnik število_svojine=ednina spol_svojine=ženski	1		njenima/njen
Ps3fddsn	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=dative Owner_Number=singular Owner_Gender=neuter	Zstzddes	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=dajalnik število_svojine=ednina spol_svojine=srednji	1		njegovima/njegov
Ps3fddd	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=dative Owner_Number=dual	Zstzddd	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=dajalnik število_svojine=dvojina	1		njunima/njun
Ps3fddp	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=dative Owner_Number=plural	Zstzddm	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=dajalnik število_svojine=množina	3		njihovima/njihov, njihnjima/njihnji, njihnima/njihen
Ps3fdasm	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=accusative Owner_Number=singular Owner_Gender=masculine	Zstzdtem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=tožilnik število_svojine=ednina spol_svojine=moški	1		njegovi/njegov
Ps3fdasf	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=accusative Owner_Number=singular Owner_Gender=feminine	Zstzdtez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=tožilnik število_svojine=ednina spol_svojine=ženski	1		njeni/njen
Ps3fdasn	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=accusative Owner_Number=singular Owner_Gender=neuter	Zstzdtes	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=tožilnik število_svojine=ednina spol_svojine=srednji	1		njegovi/njegov
Ps3fdad	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=accusative Owner_Number=dual	Zstzdtd	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=tožilnik število_svojine=dvojina	1		njuni/njun
Ps3fdap	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=accusative Owner_Number=plural	Zstzdtm	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=tožilnik število_svojine=množina	3		njihovi/njihov, njihnji, njihni/njihen
Ps3fdlsm	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=locative Owner_Number=singular Owner_Gender=masculine	Zstzdmem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=mestnik število_svojine=ednina spol_svojine=moški	1		njegovih/njegov
Ps3fdlsf	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=locative Owner_Number=singular Owner_Gender=feminine	Zstzdmez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=mestnik število_svojine=ednina spol_svojine=ženski	1		njenih/njen
Ps3fdlsn	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=locative Owner_Number=singular Owner_Gender=neuter	Zstzdmes	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=mestnik število_svojine=ednina spol_svojine=srednji	1		njegovih/njegov
Ps3fdld	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=locative Owner_Number=dual	Zstzdmd	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=mestnik število_svojine=dvojina	1		njunih/njun
Ps3fdlp	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=locative Owner_Number=plural	Zstzdmm	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=mestnik število_svojine=množina	3		njihovih/njihov, njihnjih/njihnji, njihnih/njihen
Ps3fdism	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=instrumental Owner_Number=singular Owner_Gender=masculine	Zstzdoem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=orodnik število_svojine=ednina spol_svojine=moški	1		njegovima/njegov
Ps3fdisf	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=instrumental Owner_Number=singular Owner_Gender=feminine	Zstzdoez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=orodnik število_svojine=ednina spol_svojine=ženski	1		njenima/njen
Ps3fdisn	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=instrumental Owner_Number=singular Owner_Gender=neuter	Zstzdoes	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=orodnik število_svojine=ednina spol_svojine=srednji	1		njegovima/njegov
Ps3fdid	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=instrumental Owner_Number=dual	Zstzdod	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=orodnik število_svojine=dvojina	1		njunima/njun
Ps3fdip	Pronoun Type=possessive Person=third Gender=feminine Number=dual Case=instrumental Owner_Number=plural	Zstzdom	zaimek vrsta=svojilni oseba=tretja spol=ženski število=dvojina sklon=orodnik število_svojine=množina	3		njihovima/njihov, njihnjima/njihnji, njihnima/njihen
Ps3fpnsm	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=nominative Owner_Number=singular Owner_Gender=masculine	Zstzmiem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=imenovalnik število_svojine=ednina spol_svojine=moški	1	6449	njegove/njegov
Ps3fpnsf	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=nominative Owner_Number=singular Owner_Gender=feminine	Zstzmiez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=imenovalnik število_svojine=ednina spol_svojine=ženski	1	7702	njene/njen
Ps3fpnsn	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=nominative Owner_Number=singular Owner_Gender=neuter	Zstzmies	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=imenovalnik število_svojine=ednina spol_svojine=srednji	1		njegove/njegov
Ps3fpnd	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=nominative Owner_Number=dual	Zstzmid	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=imenovalnik število_svojine=dvojina	1		njune/njun
Ps3fpnp	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=nominative Owner_Number=plural	Zstzmim	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=imenovalnik število_svojine=množina	3	29779	njihove/njihov, njihnje/njihnji, njihne/njihen
Ps3fpgsm	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=genitive Owner_Number=singular Owner_Gender=masculine	Zstzmrem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=rodilnik število_svojine=ednina spol_svojine=moški	1	38247	njegovih/njegov
Ps3fpgsf	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=genitive Owner_Number=singular Owner_Gender=feminine	Zstzmrez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=rodilnik število_svojine=ednina spol_svojine=ženski	1	24972	njenih/njen
Ps3fpgsn	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=genitive Owner_Number=singular Owner_Gender=neuter	Zstzmres	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=rodilnik število_svojine=ednina spol_svojine=srednji	1		njegovih/njegov
Ps3fpgd	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=genitive Owner_Number=dual	Zstzmrd	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=rodilnik število_svojine=dvojina	1		njunih/njun
Ps3fpgp	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=genitive Owner_Number=plural	Zstzmrm	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=rodilnik število_svojine=množina	3	58591	njihovih/njihov, njihnjih/njihnji, njihnih/njihen
Ps3fpdsm	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=dative Owner_Number=singular Owner_Gender=masculine	Zstzmdem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=dajalnik število_svojine=ednina spol_svojine=moški	1		njegovim/njegov
Ps3fpdsf	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=dative Owner_Number=singular Owner_Gender=feminine	Zstzmdez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=dajalnik število_svojine=ednina spol_svojine=ženski	1	70	njenim/njen
Ps3fpdsn	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=dative Owner_Number=singular Owner_Gender=neuter	Zstzmdes	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=dajalnik število_svojine=ednina spol_svojine=srednji	1		njegovim/njegov
Ps3fpdd	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=dative Owner_Number=dual	Zstzmdd	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=dajalnik število_svojine=dvojina	1		njunim/njun
Ps3fpdp	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=dative Owner_Number=plural	Zstzmdm	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=dajalnik število_svojine=množina	3	4680	njihovim/njihov, njihnjim/njihnji, njihnim/njihen
Ps3fpasm	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=accusative Owner_Number=singular Owner_Gender=masculine	Zstzmtem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=tožilnik število_svojine=ednina spol_svojine=moški	2	5504	njegove/njegov, njegovih/njegov
Ps3fpasf	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=accusative Owner_Number=singular Owner_Gender=feminine	Zstzmtez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=tožilnik število_svojine=ednina spol_svojine=ženski	1	7723	njene/njen
Ps3fpasn	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=accusative Owner_Number=singular Owner_Gender=neuter	Zstzmtes	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=tožilnik število_svojine=ednina spol_svojine=srednji	1		njegove/njegov
Ps3fpad	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=accusative Owner_Number=dual	Zstzmtd	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=tožilnik število_svojine=dvojina	1		njune/njun
Ps3fpap	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=accusative Owner_Number=plural	Zstzmtm	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=tožilnik število_svojine=množina	3	28642	njihove/njihov, njihnje/njihnji, njihne/njihen
Ps3fplsm	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=locative Owner_Number=singular Owner_Gender=masculine	Zstzmmem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=mestnik število_svojine=ednina spol_svojine=moški	1	36498	njegovih/njegov
Ps3fplsf	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=locative Owner_Number=singular Owner_Gender=feminine	Zstzmmez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=mestnik število_svojine=ednina spol_svojine=ženski	1	14079	njenih/njen
Ps3fplsn	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=locative Owner_Number=singular Owner_Gender=neuter	Zstzmmes	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=mestnik število_svojine=ednina spol_svojine=srednji	1		njegovih/njegov
Ps3fpld	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=locative Owner_Number=dual	Zstzmmd	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=mestnik število_svojine=dvojina	1		njunih/njun
Ps3fplp	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=locative Owner_Number=plural	Zstzmmm	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=mestnik število_svojine=množina	3	10158	njihovih/njihov, njihnjih/njihnji, njihnih/njihen
Ps3fpism	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=instrumental Owner_Number=singular Owner_Gender=masculine	Zstzmoem	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=orodnik število_svojine=ednina spol_svojine=moški	1	2116	njegovimi/njegov
Ps3fpisf	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=instrumental Owner_Number=singular Owner_Gender=feminine	Zstzmoez	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=orodnik število_svojine=ednina spol_svojine=ženski	1	10641	njenimi/njen
Ps3fpisn	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=instrumental Owner_Number=singular Owner_Gender=neuter	Zstzmoes	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=orodnik število_svojine=ednina spol_svojine=srednji	1		njegovimi/njegov
Ps3fpid	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=instrumental Owner_Number=dual	Zstzmod	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=orodnik število_svojine=dvojina	1		njunimi/njun
Ps3fpip	Pronoun Type=possessive Person=third Gender=feminine Number=plural Case=instrumental Owner_Number=plural	Zstzmom	zaimek vrsta=svojilni oseba=tretja spol=ženski število=množina sklon=orodnik število_svojine=množina	3		njihovimi/njihov, njihnjimi/njihnji, njihnimi/njihen
Ps3nsnsm	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=nominative Owner_Number=singular Owner_Gender=masculine	Zstseiem	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=imenovalnik število_svojine=ednina spol_svojine=moški	1	55262	njegovo/njegov
Ps3nsnsf	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=nominative Owner_Number=singular Owner_Gender=feminine	Zstseiez	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=imenovalnik število_svojine=ednina spol_svojine=ženski	1	18571	njeno/njen
Ps3nsnsn	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=nominative Owner_Number=singular Owner_Gender=neuter	Zstseies	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=imenovalnik število_svojine=ednina spol_svojine=srednji	1		njegovo/njegov
Ps3nsnd	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=nominative Owner_Number=dual	Zstseid	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=imenovalnik število_svojine=dvojina	1	2698	njuno/njun
Ps3nsnp	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=nominative Owner_Number=plural	Zstseim	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=imenovalnik število_svojine=množina	3	31538	njihovo/njihov, njihno/njihen, njihnje/njihnji
Ps3nsgsm	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=genitive Owner_Number=singular Owner_Gender=masculine	Zstserem	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=rodilnik število_svojine=ednina spol_svojine=moški	1	53754	njegovega/njegov
Ps3nsgsf	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=genitive Owner_Number=singular Owner_Gender=feminine	Zstserez	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=rodilnik število_svojine=ednina spol_svojine=ženski	1	17946	njenega/njen
Ps3nsgsn	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=genitive Owner_Number=singular Owner_Gender=neuter	Zstseres	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=rodilnik število_svojine=ednina spol_svojine=srednji	1		njegovega/njegov
Ps3nsgd	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=genitive Owner_Number=dual	Zstserd	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=rodilnik število_svojine=dvojina	1		njunega/njun
Ps3nsgp	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=genitive Owner_Number=plural	Zstserm	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=rodilnik število_svojine=množina	3	22622	njihovega/njihov, njihnjega/njihnji, njihnega/njihen
Ps3nsdsm	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=dative Owner_Number=singular Owner_Gender=masculine	Zstsedem	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=dajalnik število_svojine=ednina spol_svojine=moški	1		njegovemu/njegov
Ps3nsdsf	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=dative Owner_Number=singular Owner_Gender=feminine	Zstsedez	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=dajalnik število_svojine=ednina spol_svojine=ženski	1		njenemu/njen
Ps3nsdsn	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=dative Owner_Number=singular Owner_Gender=neuter	Zstsedes	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=dajalnik število_svojine=ednina spol_svojine=srednji	1		njegovemu/njegov
Ps3nsdd	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=dative Owner_Number=dual	Zstsedd	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=dajalnik število_svojine=dvojina	1		njunemu/njun
Ps3nsdp	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=dative Owner_Number=plural	Zstsedm	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=dajalnik število_svojine=množina	3		njihovemu/njihov, njihnjemu/njihnji, njihnemu/njihen
Ps3nsasm	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=accusative Owner_Number=singular Owner_Gender=masculine	Zstsetem	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=tožilnik število_svojine=ednina spol_svojine=moški	1	66213	njegovo/njegov
Ps3nsasf	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=accusative Owner_Number=singular Owner_Gender=feminine	Zstsetez	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=tožilnik število_svojine=ednina spol_svojine=ženski	1	39812	njeno/njen
Ps3nsasn	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=accusative Owner_Number=singular Owner_Gender=neuter	Zstsetes	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=tožilnik število_svojine=ednina spol_svojine=srednji	1		njegovo/njegov
Ps3nsad	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=accusative Owner_Number=dual	Zstsetd	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=tožilnik število_svojine=dvojina	1	18238	njuno/njun
Ps3nsap	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=accusative Owner_Number=plural	Zstsetm	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=tožilnik število_svojine=množina	3	38672	njihovo/njihov, njihno/njihen, njihnje/njihnji
Ps3nslsm	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=locative Owner_Number=singular Owner_Gender=masculine	Zstsemem	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=mestnik število_svojine=ednina spol_svojine=moški	1	68160	njegovem/njegov
Ps3nslsf	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=locative Owner_Number=singular Owner_Gender=feminine	Zstsemez	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=mestnik število_svojine=ednina spol_svojine=ženski	1	18224	njenem/njen
Ps3nslsn	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=locative Owner_Number=singular Owner_Gender=neuter	Zstsemes	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=mestnik število_svojine=ednina spol_svojine=srednji	1		njegovem/njegov
Ps3nsld	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=locative Owner_Number=dual	Zstsemd	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=mestnik število_svojine=dvojina	1		njunem/njun
Ps3nslp	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=locative Owner_Number=plural	Zstsemm	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=mestnik število_svojine=množina	3	33564	njihovem/njihov, njihnjem/njihnji, njihnem/njihen
Ps3nsism	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=instrumental Owner_Number=singular Owner_Gender=masculine	Zstseoem	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=orodnik število_svojine=ednina spol_svojine=moški	1	11245	njegovim/njegov
Ps3nsisf	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=instrumental Owner_Number=singular Owner_Gender=feminine	Zstseoez	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=orodnik število_svojine=ednina spol_svojine=ženski	1	4884	njenim/njen
Ps3nsisn	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=instrumental Owner_Number=singular Owner_Gender=neuter	Zstseoes	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=orodnik število_svojine=ednina spol_svojine=srednji	1		njegovim/njegov
Ps3nsid	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=instrumental Owner_Number=dual	Zstseod	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=orodnik število_svojine=dvojina	1		njunim/njun
Ps3nsip	Pronoun Type=possessive Person=third Gender=neuter Number=singular Case=instrumental Owner_Number=plural	Zstseom	zaimek vrsta=svojilni oseba=tretja spol=srednji število=ednina sklon=orodnik število_svojine=množina	3	7691	njihovim/njihov, njihnjim/njihnji, njihnim/njihen
Ps3ndnsm	Pronoun Type=possessive Person=third Gender=neuter Number=dual Case=nominative Owner_Number=singular Owner_Gender=masculine	Zstsdiem	zaimek vrsta=svojilni oseba=tretja spol=srednji število=dvojina sklon=imenovalnik število_svojine=ednina spol_svojine=moški	1		njegovi/njegov
Ps3ndnsf	Pronoun Type=possessive Person=third Gender=neuter Number=dual Case=nominative Owner_Number=singular Owner_Gender=feminine	Zstsdiez	zaimek vrsta=svojilni oseba=tretja spol=srednji število=dvojina sklon=imenovalnik število_svojine=ednina spol_svojine=ženski	1		njeni/njen
Ps3ndnsn	Pronoun Type=possessive Person=third Gender=neuter Number=dual Case=nominative Owner_Number=singular Owner_Gender=neuter	Zstsdies	zaimek vrsta=svojilni oseba=tretja spol=srednji število=dvojina sklon=imenovalnik število_svojine=ednina spol_svojine=srednji	1		njegovi/njegov
Ps3ndnd	Pronoun Type=possessive Person=third Gender=neuter Number=dual Case=nominative Owner_Number=dual	Zstsdid	zaimek vrsta=svojilni oseba=tretja spol=srednji število=dvojina sklon=imenovalnik število_svojine=dvojina	1		njuni/njun
Ps3ndnp	Pronoun Type=possessive Person=third Gender=neuter Number=dual Case=nominative Owner_Number=plural	Zstsdim	zaimek vrsta=svojilni oseba=tretja spol=srednji število=dvojina sklon=imenovalnik število_svojine=množina	3		njihovi/njihov, njihnji, njihni/njihen
Ps3ndgsm	Pronoun Type=possessive Person=third Gender=neuter Number=dual Case=genitive Owner_Number=singular Owner_Gender=masculine	Zstsdrem	zaimek vrsta=svojilni oseba=tretja spol=srednji število=dvojina sklon=rodilnik število_svojine=ednina spol_svojine=moški	1		njegovih/njegov
Ps3ndgsf	Pronoun Type=possessive Person=third Gender=neuter Number=dual Case=genitive Owner_Number=singular Owner_Gender=feminine	Zstsdrez	zaimek vrsta=svojilni oseba=tretja spol=srednji število=dvojina sklon=rodilnik število_svojine=ednina spol_svojine=ženski	1		njenih/njen
Ps3ndgsn	Pronoun Type=possessive Person=third Gender=neuter Number=dual Case=genitive Owner_Number=singular Owner_Gender=neuter	Zstsdres	zaimek vrsta=svojilni oseba=tretja spol=srednji število=dvojina sklon=rodilnik število_svojine=ednina spol_svojine=srednji	1		njegovih/njegov
Ps3ndgd	Pronoun Type=possessive Person=third Gender=neuter Number=dual Case=genitive Owner_Number=dual	Zstsdrd	zaimek vrsta=svojilni oseba=tretja spol=srednji število=dvojina sklon=rodilnik število_svojine=dvojina	1		njunih/njun
